Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember
Þorskur;Allar löndunartegundir;19026189;21951929;24271230;18588497;21726350;14838007;11623812;13475763;17591436;..;..;..;19274715;22765285;22059899;19448129;22200105;13299754;11455009;13548211;20535011;22122827;18711334;16344888;19564536;21793390;24259632;17638596;21239142;15275421;9633501;12687281;17356182;21631582;22169891;17305703;21259724;21745574;29459123;23316834;25481057;15591039;11350624;14192494;19989439;21542475;22396611;17249410;22850536;29243053;33016160;23123586;25309674;19580071;17760621;19838666;19627672;18271680;21644589;21499277;17446639;28874914;32898207;23241504;26686030;21202515;20049690;20119274;20602922;23719650;23642406;18492759;24166295;27419703;31306640;22981027;26473434;14826265;21354854;16417068;21405636;23994053;25825805;16869411;23173747;24070636;31565432;23432586;25763183;17932702;19696641;18242039;20558255;26798028;26262323;17408616;5940683;14498357;34452330;18076020;27923983;18303246;16926534;21470046;21241269;27174973;26724465;20023614;23232867;29645307;28432007;20002003;22765021;17761103;13895211;17025546;22157618;26819302;26715031;15907346;17886168;24939065;33682721;15471143;19033915;17293873;12716642;12045713;22884293;24543764;24193806;19772903;20217363;23368452;30492767;19452982;21223817;17294102;12430009;11142611;20377567;24273031;24499501;15178383;20172571;25302421;25833722;21021263;18841716;15144510;13167726;9027950;20655090;23592307;24546753;18997400;16651363;21968297;23565692;16095075;17264979;12257982;10271055;9666653;18309366;23009432;19501086;16394168;13356599;18009073;23850213;13290455;17341647;9601321;8827568;9550819;13770011;17842299;21392989;15520131;17459134;20572098;22645498;12851341;13752215;9370661;8754907;12258705;13196384;16886328;17159654;13690305
;Akranes;123354;119084;150650;48449;113458;161463;65877;427;..;..;..;..;100773;46390;43475;87393;121403;89081;49641;5448;94034;19284;34829;18994;133024;43793;117267;30752;93973;120995;26686;10856;64362;687;3929;56410;43980;38607;144214;48178;66279;90838;83447;28398;57021;16295;1206;40662;75527;89810;143740;156064;101178;113750;63046;87504;53027;27151;37212;24683;49886;159569;80852;245577;187992;160753;105710;36580;69744;28062;43369;89151;81337;89928;237285;333120;428146;70478;98025;45278;31395;35847;15277;17508;17002;73140;167089;252704;122090;89942;56280;78519;8941;36824;26899;46210;86980;170183;185251;68190;105051;86650;39582;35307;1510;10634;765;1152;58156;105767;79510;66848;81888;116741;32008;19776;732;1631;16515;13417;41281;93518;142800;93428;113225;107655;65318;24576;5875;63693;45724;45766;97752;321786;139989;111662;91228;164733;34872;14296;16562;31250;49013;36731;98855;106090;144499;154833;54651;74044;44437;6724;15925;24773;27080;36050;123893;92892;83128;129323;93834;91170;15063;9285;33602;11783;33201;32250;60408;147119;109511;108996;66003;64303;41358;14756;21431;18273;17546;39913;82768;76303;43447;76509;108254;43932;22456;23468;35736;37538;39082;45341
;Akureyri;831037;1058061;140471;121356;822887;708957;346322;966945;1151558;..;..;..;982593;568383;652003;387115;370094;572443;205808;536887;1231134;1566671;708185;1848629;1233654;1249378;270670;74072;885542;484027;404140;1065920;1079454;1039029;1276544;1432704;1330497;728573;910320;133862;603077;268342;612598;376641;831448;643055;511824;1167124;1096516;587805;785542;1117986;741633;689812;472600;794424;758224;901524;909498;1040423;1264315;1625831;621199;576985;444781;903018;660201;1573162;639489;338439;989480;1342126;1188268;1223034;1362944;711058;397493;212323;577923;765358;1048265;545594;1076403;1592960;1024010;828611;1034754;971328;1477622;580138;1316166;127166;688554;1333844;505545;1312313;9901;425701;2611603;641367;856857;1448044;383907;1042540;1028910;1260017;1141206;969559;934525;717918;1608605;758484;282085;107115;331404;1098822;2208171;713279;1634729;1426683;1038569;247592;561436;978572;335744;1897973;293472;787177;1098084;1465769;1263434;1439541;802230;417345;948731;350767;680327;1623594;30066;695540;883174;1467140;1204916;1139273;1078215;1078900;702072;615567;506820;494640;413000;246076;904169;902722;645717;1619964;667892;580918;584592;371567;462484;445626;417382;814859;997281;1275202;1064067;1583022;550846;555178;530650;891422;1530138;557684;981370;336466;664789;1263097;1417657;1057446;818548;1161344;1143918;213432;498556;455559;857487;844258;382487;997526;1026010;862537
;Arnarstapi;24229;27034;181668;146790;287578;181712;54622;49447;121460;..;..;..;138747;64631;58858;101153;258210;120790;56547;8624;61313;49632;83988;34958;73576;13909;282512;138632;346369;168503;39859;7846;22708;32282;77900;60236;4674;..;118692;203683;374310;158198;125239;7294;7200;168550;83094;145329;191321;166047;1879;84981;340543;63359;57136;48837;..;74682;142250;58396;..;58741;54455;74162;588364;131197;75902;75829;14252;11457;45306;255178;97151;26451;101297;72836;462984;101107;120783;16111;6987;..;..;..;233362;2396;149690;333220;274747;110926;61046;74198;26951;78887;113493;85021;135303;82644;188510;147514;316646;134729;49960;25254;14395;40762;62893;102108;131999;180673;134691;408207;344956;90756;13368;13444;2694;4983;58957;63240;148089;181931;18070;146658;400196;57924;65957;21328;21323;50845;72325;26595;230924;603140;146169;362354;325586;47429;31248;29977;12196;121803;54678;109377;272791;243194;312614;123082;166664;33692;44790;16002;26728;91500;74815;111880;215330;115308;18722;142044;208155;44046;25314;12473;..;..;135202;128953;370822;153607;6161;17035;276079;65238;35918;27208;4990;4544;6967;170742;224104;106567;34835;179933;252659;64718;48526;17801;21790;29382;114438;96949
;Árskógsströnd;..;..;..;..;..;..;..;..;..;..;..;..;33035;110732;24963;26513;47546;15073;..;26417;39561;41735;13150;12592;28730;52274;23262;62037;33457;22601;4699;21430;46827;56841;23793;39431;29742;20346;45336;40588;60540;45744;9293;21244;52396;33563;44823;14046;40939;87640;22390;54732;76712;29266;16956;36979;34046;31677;33003;43694;12763;35964;32073;11529;45707;35077;..;..;4966;61742;33212;28581;39515;25288;29803;12395;34213;..;9800;29273;33711;16493;23404;15030;19016;19665;9526;..;64718;40191;43936;23451;26628;21930;21198;20678;83827;59119;107658;6968;82;..;..;21503;35472;41167;21153;17928;43642;69406;64639;54977;1705;42698;..;35440;57410;57912;50415;45904;19597;91927;84155;29008;59515;19104;..;16540;56845;38083;28080;25705;66203;14176;17468;23903;88940;77758;32122;35119;41253;46205;90710;30384;46140;38051;25570;8956;63645;76803;36615;31868;43425;54973;45689;44303;17735;29428;21670;12373;73017;74773;19210;16956;28335;36613;32796;46542;27422;25089;37354;38092;60714;65398;59417;32626;24848;19418;29037;17268;57141;26778;25626;48302;113362;59370;41630;27217;27767;18539;32661;24389
;Bakkafjörður;126527;103538;164658;57681;192193;78623;130064;96063;22262;..;..;..;131281;96875;108626;196893;329411;98588;145717;147743;78892;73117;108030;43290;40467;19172;86914;199587;213878;142645;163593;126851;75338;88445;75115;104944;31129;..;71310;67466;74941;116606;112626;231103;209040;39572;213;..;14698;11579;88202;128121;150067;129893;277153;463838;101441;60448;51252;72359;2828;2185;55144;75386;181077;198648;164232;307054;129306;247278;12496;19164;11690;17932;105345;159144;138324;188110;159912;207850;70386;81268;158163;54729;19894;13453;60388;101609;199339;251027;259499;106486;111071;77352;114819;26720;24137;25674;64447;40504;205431;248064;296916;143902;65712;75037;102027;60134;36570;21355;75248;43904;169574;228346;225917;168710;85876;87298;68261;19424;9581;5290;47976;13669;31675;106311;245299;80321;85845;46900;44130;22841;7653;1518;69801;47475;27091;56433;122328;115339;63375;41833;41975;5211;2406;5424;52695;27537;25227;30270;69390;75243;44151;45996;63038;20535;12447;13817;82984;31901;34898;73398;67504;33837;9534;25265;26155;10207;683;6122;56027;34469;30650;32002;98989;85244;19774;17454;18468;724;6590;15178;16537;13777;23534;66017;62079;31132;10939;20999;19495;5686
;Bíldudalur;19467;28697;..;642;86994;88308;44874;0;..;..;..;..;..;..;..;..;75571;83630;71298;..;..;..;..;5506;..;..;..;..;81278;82860;30463;..;..;..;..;..;..;..;..;..;54805;61780;64244;0;11315;0;..;2384;5298;..;..;..;65835;63112;54827;43948;452;10879;10136;..;3202;..;..;..;45522;65157;67484;23131;3842;..;3578;7548;15717;1599;..;..;39577;21746;44935;42496;1010;13230;4368;5813;23927;2466;..;..;54941;48868;45889;24573;2481;..;4569;50896;92687;21747;..;..;37284;31023;41989;29595;..;..;4373;45367;..;..;..;..;25145;41515;32058;32538;1751;..;2430;23924;1041;..;10994;..;40277;39815;30462;24493;2761;..;..;11981;5754;..;15527;..;45517;52543;50564;26044;14710;12293;..;..;34193;629;..;..;33163;34286;37457;35213;..;2006;6772;..;67507;32656;4260;4646;62953;74119;74515;24605;11857;51022;68205;51942;25508;56363;2201;747;24861;36201;91096;49203;..;14614;74207;35277;48451;16460;19717;2996;31307;35721;31675;28198;..;1726;..;6906
;Blönduós;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80208;17105;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;869;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;287;..;..;490;2535;195;450;..;1177;..;..
;Bolungarvík;626613;527191;350567;322535;848971;1048093;543984;903692;788942;..;..;..;625872;590641;414692;409589;1001609;1059651;393630;673063;851834;803697;1009147;879198;576001;545170;464132;400331;954621;1020694;553524;840912;565057;635751;1212847;1180958;946279;483657;590802;283981;728823;1230111;701520;1268393;1400882;785521;755598;1015948;1148010;829742;616076;332363;1019904;1902760;1411060;1114142;1139669;1016254;1645863;855135;619891;870250;840761;112498;735563;1865681;1585267;929386;883335;991490;918043;641796;869075;778579;870646;522545;852456;1559880;1088902;1004236;1137325;668785;963793;667991;731880;745850;908322;321629;1246085;1661314;1241841;1143828;1162468;1264332;1161147;1074961;556945;772735;595567;398141;935202;1608600;1404986;1584131;1393528;1309536;1034989;918886;1083199;894394;611929;612249;973601;1406871;1282768;1659058;1548141;1683331;1078290;909369;804960;534223;410895;367585;789406;873248;519914;877387;1682734;1349901;1084415;769677;734416;397942;233690;370431;632919;1021085;1077886;702040;710671;623083;1309627;635719;912106;666214;218635;309162;718862;1998540;780846;631362;818457;791387;1167483;566273;737015;567682;301619;314289;476050;670569;514287;486358;931166;1002480;804617;727118;567431;661389;252157;208152;502673;484064;558798;662774;962252;1074408;1101128;721839;900819;504812;348761;204573;426284;342722;378635;543231;774958;755358;932551;575934
