Fiskveiðiár;Skr.nr.;Heiti;Útgerðarflokkur;Kvótategund;Hlutdeildir úr gildi;Hlutdeild í upphafi;Hlutdeild í lok;Hlutdeildarbreyting;Útgerð
2024/2025;1909;Gísli ÍS22;Núllflokkur;Makríll;31.08.2025;0,0000041;0,0000041;0,0000000;1909 ehf.
2024/2025;1909;Gísli ÍS22;Núllflokkur;Grásleppa;31.08.2025;0,3568994;0,3568994;0,0000000;1909 ehf.
2024/2025;7250;Beggi GK164;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000001;0,0000001;0,0000000;27 Apríl ehf.
2024/2025;5923;Von ÍS192;Krókaaflamarksbátur;Karfi/gullkarfi;31.08.2025;0,0002347;0,0002347;0,0000000;5923 ehf.
2024/2025;5923;Von ÍS192;Krókaaflamarksbátur;Ufsi;31.08.2025;0,0005495;0,0003743;-0,0001752;5923 ehf.
2024/2025;5923;Von ÍS192;Krókaaflamarksbátur;Þorskur;31.08.2025;0,0019895;0,0024766;0,0004871;5923 ehf.
2024/2025;7201;Rúnar AK77;Krókaaflamarksheimild;Makríll;31.08.2025;0,0000001;0,0000001;0,0000000;Academia Borealis ehf.
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Hlýri;31.08.2025;0,0000000;1,6598619;1,6598619;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Grálúða;31.08.2025;0,0001540;0,0001540;0,0000000;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Keila;31.08.2025;0,0005465;0,0005465;0,0000000;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Karfi/gullkarfi;31.08.2025;0,0016027;0,0080427;0,0064400;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Blálanga;31.08.2025;0,0029505;5,4445110;5,4415605;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Ufsi;31.08.2025;0,0192743;0,1569020;0,1376277;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Steinbítur;31.08.2025;0,0282826;0,4212861;0,3930035;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Þorskur;31.08.2025;0,0557515;0,7533660;0,6976145;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Ýsa;31.08.2025;0,0616130;0,0616130;0,0000000;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Langa;31.08.2025;0,0783127;4,8977762;4,8194635;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Skötuselur;31.08.2025;0,1226837;1,1395905;1,0169068;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Þykkvalúra;31.08.2025;1,3641963;1,4741206;0,1099243;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Skarkoli;31.08.2025;1,5819479;1,6146374;0,0326895;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Skrápflúra;31.08.2025;1,7830399;1,7830399;0,0000000;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Sandkoli;31.08.2025;2,8385912;7,0707286;4,2321374;Aðalbjörg RE-5 ehf
2024/2025;1755;Aðalbjörg RE5;Skip með aflamark;Langlúra;31.08.2025;2,8433376;1,1123806;-1,7309570;Aðalbjörg RE-5 ehf
2024/2025;7001;Ari Óskar ÍS127;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000018;0,0000018;0,0000000;Adam ehf.
2024/2025;2588;Þorbjörg ÞH25;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,4141996;0,4141996;0,0000000;Æðarsker ehf.
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000421;0,0000421;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Ufsi;31.08.2025;0,0016336;0,0016336;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Þorskur;31.08.2025;0,0083924;0,0083924;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Hlýri;31.08.2025;0,0097210;0,0097210;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Steinbítur;31.08.2025;0,0100471;0,0100471;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Ýsa;31.08.2025;0,0168077;0,0168077;0,0000000;Æður ehf
2024/2025;2390;Hilmir ST1;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,9601911;0,9601911;0,0000000;Æður ehf
2024/2025;1803;Stella SH85;Krókaaflamarksbátur;Ufsi;31.08.2025;0,0000000;0,0041508;0,0041508;Aflakló ehf.
2024/2025;1803;Stella SH85;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000568;0,0000568;0,0000000;Aflakló ehf.
2024/2025;1803;Stella SH85;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,2913765;0,2913765;0,0000000;Aflakló ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000021;0,0000021;0,0000000;AGS ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Ýsa;31.08.2025;0,0001404;0,0001404;0,0000000;AGS ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Þorskur;31.08.2025;0,0059352;0,0059352;0,0000000;AGS ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Hlýri;31.08.2025;0,0890456;0,0890456;0,0000000;AGS ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Ufsi;31.08.2025;0,1204535;0,1204535;0,0000000;AGS ehf.
2024/2025;2326;Hafaldan EA190;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,2115013;0,2115013;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Langlúra;31.08.2025;0,0000016;0,0000016;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Grálúða;31.08.2025;0,0000081;0,0000081;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Makríll;31.08.2025;0,0000446;0,0000446;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Karfi/gullkarfi;31.08.2025;0,0000480;0,0000480;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Steinbítur;31.08.2025;0,0000558;0,0000558;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Skarkoli;31.08.2025;0,0000600;0,0000600;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Ufsi;31.08.2025;0,0020714;0,0020714;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Ýsa;31.08.2025;0,0020748;0,0020748;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Þorskur;31.08.2025;0,0153743;0,0153743;0,0000000;AGS ehf.
2024/2025;2718;Þorleifur EA88;Smábátur með aflamark;Grásleppa;31.08.2025;0,7909538;0,7909538;0,0000000;AGS ehf.
2024/2025;7111;Ágústa  EA16;Smábátur með aflamark;Hlýri;31.08.2025;0,0003383;0,0003383;0,0000000;Ágústa ehf.
2024/2025;7111;Ágústa  EA16;Smábátur með aflamark;Grásleppa;31.08.2025;0,2180557;0,2180557;0,0000000;Ágústa ehf.
2024/2025;7485;Valdís ÍS889;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000010;0,0000010;0,0000000;AK 88 ehf.
2024/2025;7485;Valdís ÍS889;Krókaaflamarksbátur;Þorskur;31.08.2025;0,0009319;0,0009319;0,0000000;AK 88 ehf.
2024/2025;7485;Valdís ÍS889;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,0101295;0,0101295;0,0000000;AK 88 ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Karfi/gullkarfi;31.08.2025;0,0115029;0,0119682;0,0004653;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Langa;31.08.2025;0,0695578;0,0695578;0,0000000;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Steinbítur;31.08.2025;0,0930492;0,0930492;0,0000000;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Ufsi;31.08.2025;0,1043331;0,1105599;0,0062268;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Ýsa;31.08.2025;0,1717340;0,1717340;0,0000000;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Keila;31.08.2025;0,1980495;0,1980495;0,0000000;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Hlýri;31.08.2025;0,2537168;0,2537168;0,0000000;Akraberg ehf.
2024/2025;2905;Eskey ÓF80;Krókaaflamarksbátur;Þorskur;31.08.2025;0,2645701;0,2755159;0,0109458;Akraberg ehf.
2024/2025;6894;Alda KE8;Krókaaflamarksheimild;Blálanga;31.08.2025;0,0000182;0,0000182;0,0000000;Alda KE-8 ehf.
2024/2025;6616;Mangi SH616;Núllflokkur;Grásleppa;31.08.2025;0,1631648;0,1631648;0,0000000;Alexander Helgason
2024/2025;7666;Eyfirðingur EA91;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000046;0,0000000;-0,0000046;Álfatungl ehf
2024/2025;7501;Alli gamli  BA88;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000043;0,0000043;0,0000000;Alli Gamli ehf
2024/2025;7501;Alli gamli  BA88;Krókaaflamarksbátur;Ufsi;31.08.2025;0,0001884;0,0001884;0,0000000;Alli Gamli ehf
2024/2025;7501;Alli gamli  BA88;Krókaaflamarksbátur;Þorskur;31.08.2025;0,0167572;0,0167572;0,0000000;Alli Gamli ehf
2024/2025;7501;Alli gamli  BA88;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,0504194;0,0504194;0,0000000;Alli Gamli ehf
2024/2025;6230;Mæja Odds ÍS888;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000010;0,0000010;0,0000000;Alli Vill ehf.
2024/2025;2006;Án BA77;Krókaaflamarksbátur;Ufsi;31.08.2025;0,0000000;0,0094336;0,0094336;Ánanaust slf.
2024/2025;2006;Án BA77;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,5289605;0,5289605;0,0000000;Ánanaust slf.
2024/2025;7168;Patryk NS27;Krókaaflamarksbátur;Makríll;31.08.2025;0,0001515;0,0001515;0,0000000;Andpol ehf.
2024/2025;1765;Kristín Óf49;Krókaaflamarksbátur;Makríll;31.08.2025;0,0000688;0,0000688;0,0000000;Andri Viðar Víglundsson
2024/2025;1765;Kristín Óf49;Krókaaflamarksbátur;Hlýri;31.08.2025;0,0017593;0,0017593;0,0000000;Andri Viðar Víglundsson
2024/2025;1765;Kristín Óf49;Krókaaflamarksbátur;Grásleppa;31.08.2025;0,4135778;0,4135778;0,0000000;Andri Viðar Víglundsson
2024/2025;1489;Anný SU71;Smábátur með aflamark;Ýsa;31.08.2025;0,0001428;0,0001428;0,0000000;Anný Kastala ehf
2024/2025;1489;Anný SU71;Smábátur með aflamark;Þorskur;31.08.2025;0,0001914;0,0001914;0,0000000;Anný Kastala ehf
