"Fisktegund";"Löndunarhöfn";"2024 Alls";"2024 janúar";"2024 febrúar";"2024 mars";"2024 apríl";"2024 maí";"2024 júní";"2024 júlí";"2024 ágúst";"2024 september";"2024 október";"2024 nóvember";"2024 desember";"2023 Alls";"2023 janúar";"2023 febrúar";"2023 mars";"2023 apríl";"2023 maí";"2023 júní";"2023 júlí";"2023 ágúst";"2023 september";"2023 október";"2023 nóvember";"2023 desember";"2022 Alls";"2022 janúar";"2022 febrúar";"2022 mars";"2022 apríl";"2022 maí";"2022 júní";"2022 júlí";"2022 ágúst";"2022 september";"2022 október";"2022 nóvember";"2022 desember";"2021 Alls";"2021 janúar";"2021 febrúar";"2021 mars";"2021 apríl";"2021 maí";"2021 júní";"2021 júlí";"2021 ágúst";"2021 september";"2021 október";"2021 nóvember";"2021 desember";"2020 Alls";"2020 janúar";"2020 febrúar";"2020 mars";"2020 apríl";"2020 maí";"2020 júní";"2020 júlí";"2020 ágúst";"2020 september";"2020 október";"2020 nóvember";"2020 desember";"2019 Alls";"2019 janúar";"2019 febrúar";"2019 mars";"2019 apríl";"2019 maí";"2019 júní";"2019 júlí";"2019 ágúst";"2019 september";"2019 október";"2019 nóvember";"2019 desember";"2018 Alls";"2018 janúar";"2018 febrúar";"2018 mars";"2018 apríl";"2018 maí";"2018 júní";"2018 júlí";"2018 ágúst";"2018 september";"2018 október";"2018 nóvember";"2018 desember";"2017 Alls";"2017 janúar";"2017 febrúar";"2017 mars";"2017 apríl";"2017 maí";"2017 júní";"2017 júlí";"2017 ágúst";"2017 september";"2017 október";"2017 nóvember";"2017 desember";"2016 Alls";"2016 janúar";"2016 febrúar";"2016 mars";"2016 apríl";"2016 maí";"2016 júní";"2016 júlí";"2016 ágúst";"2016 september";"2016 október";"2016 nóvember";"2016 desember";"2015 Alls";"2015 janúar";"2015 febrúar";"2015 mars";"2015 apríl";"2015 maí";"2015 júní";"2015 júlí";"2015 ágúst";"2015 september";"2015 október";"2015 nóvember";"2015 desember";"2014 Alls";"2014 janúar";"2014 febrúar";"2014 mars";"2014 apríl";"2014 maí";"2014 júní";"2014 júlí";"2014 ágúst";"2014 september";"2014 október";"2014 nóvember";"2014 desember";"2013 Alls";"2013 janúar";"2013 febrúar";"2013 mars";"2013 apríl";"2013 maí";"2013 júní";"2013 júlí";"2013 ágúst";"2013 september";"2013 október";"2013 nóvember";"2013 desember";"2012 Alls";"2012 janúar";"2012 febrúar";"2012 mars";"2012 apríl";"2012 maí";"2012 júní";"2012 júlí";"2012 ágúst";"2012 september";"2012 október";"2012 nóvember";"2012 desember";"2011 Alls";"2011 janúar";"2011 febrúar";"2011 mars";"2011 apríl";"2011 maí";"2011 júní";"2011 júlí";"2011 ágúst";"2011 september";"2011 október";"2011 nóvember";"2011 desember";"2010 Alls";"2010 janúar";"2010 febrúar";"2010 mars";"2010 apríl";"2010 maí";"2010 júní";"2010 júlí";"2010 ágúst";"2010 september";"2010 október";"2010 nóvember";"2010 desember"
"Ufsi";"Allar löndunartegundir";38461455;3008471;3107409;4347214;3791754;5234168;2792376;2160720;3869297;2662522;2901538;2092852;2493134;42170200;3259198;2812711;5067098;3006320;3548286;3595670;3029603;5592986;2549560;4447424;3365537;1895807;62051608;2460666;5291622;7040272;8798759;7547318;4398017;3888942;6266921;5311468;4114306;4355456;2577861;59772744;2903198;4098764;8180227;5630339;7077220;5299327;3202338;5683830;3146812;5908343;4586134;4056212;50428896;2655557;3420094;6009727;5099308;3979894;4665026;3479740;6868403;2968987;4229186;4560375;2492599;64698155;5869832;3586750;5468619;6159562;7528542;5290009;6043010;7572274;3963790;4604561;4457310;4153896;66276176;3551947;4302094;6340814;7472696;5725252;4087889;4995136;6765161;4714106;7310390;7336837;3673854;49349061;96408;1243716;5194606;5966458;7132462;4573479;3532504;5804749;2621196;3513353;5697424;3972706;49633053;2892894;4410024;5065348;3912271;4964683;5926239;5537723;5173735;3205229;3157736;2757000;2630171;48217377;4011167;3542385;3966349;5523458;5647639;4425451;5138375;4291442;2968037;3292452;3327573;2083049;46058997;3016255;2946626;4372907;4092315;4708053;3747159;4313310;3127576;3997247;4672831;4423115;2641603;57406670;3055660;3829936;3662908;7218814;5594341;2828603;5041339;1843785;10719408;6758532;3848696;3004648;50990578;2592834;2691237;3519301;4306142;5154945;3953420;4863365;5367521;4955371;5610956;4791470;3184016;50494428;2171995;2548289;3896545;4246987;5587983;5383620;5139570;4174762;3806258;4663265;5024024;3851130;53897530;2737906;2989193;3905146;3528959;4076333;5020147;5413616;7671689;5892267;4775984;3927757;3958533
"Ufsi";"Akranes";11402;170;33;..;1335;6301;2802;620;23;118;..;..;..;44460;153;5;388;3585;10567;21161;4953;3586;47;0;..;15;23674;..;..;167;1303;3462;13393;4939;179;207;..;..;24;22786;42;31;192;648;3661;8182;6001;3053;446;127;385;18;19282;31;39;151;1479;8619;6521;1000;80;286;192;766;118;13168;186;1150;2272;647;5829;1280;517;628;141;328;154;36;8558;..;12;195;2162;3382;2037;721;7;14;..;8;20;24676;197;4957;10260;339;3101;5323;271;213;7;6;2;..;14245;205;288;579;2548;4317;4756;885;517;27;21;93;9;22041;23;116;914;4910;6333;4210;2703;1190;220;757;433;232;45442;325;11150;1961;2433;4620;22685;1126;454;37;180;272;199;29911;670;2753;830;6217;5223;9066;4052;427;44;334;98;197;45784;455;331;915;5378;13728;16861;5505;1708;318;123;144;318;57858;6079;77;1146;2998;11061;20877;13976;1198;69;8;32;337;61772;3427;1713;58;3102;14510;25349;8715;1375;1866;263;1338;56
"Ufsi";"Akureyri";1419266;63970;160176;74668;45235;183649;308264;58484;203555;119204;30087;125947;46027;1110198;185551;59223;18134;6639;132484;83574;11789;115100;108291;278553;42463;68397;1388685;267693;254390;92548;111399;282502;51789;88046;8332;78987;42596;52964;57439;793357;50296;8972;23374;112444;128457;125353;10948;75215;24231;64853;77916;91298;774134;64300;45879;72282;174587;84623;103828;68333;21377;17185;13004;32713;76023;1385107;233918;40821;261367;162639;69725;110017;60723;161387;16012;31202;82441;154855;1604550;135683;140674;53577;127651;252487;45028;72827;279;289903;145993;156428;184020;1247892;4;43376;390237;130814;111000;135780;18539;20761;51868;59724;94851;190938;1782195;60382;31723;113964;329967;274136;221325;176023;456629;61571;11161;23816;21498;1288872;35724;11140;4406;25520;5007;34998;383598;593580;18646;26864;79046;70343;1299914;34891;32343;74056;24871;83985;15464;581306;228123;11392;46666;70497;96320;666254;61668;81178;22987;27443;15132;32989;81026;11346;250814;22533;47891;11247;1602783;30705;23778;202531;53329;51829;15463;123260;674693;308267;60883;22844;35201;2251403;1889;18052;157355;150072;76777;89196;278284;1052041;108415;34700;94360;190262;2152202;9183;28918;94906;48819;81307;350178;3802;568399;18647;401882;321085;225076
"Ufsi";"Arnarstapi";92404;173;271;742;13838;30443;31350;13343;411;1686;37;110;..;215386;64;67;4098;18471;79865;71462;29986;6652;541;2000;1876;304;136063;6;..;1501;13528;54038;40098;20908;101;526;5044;110;203;97641;471;359;..;3894;11737;23285;33617;24205;..;9;27;37;113766;..;66;92;5301;24541;57067;14840;6686;1961;2220;45;947;117270;107;6;777;6461;30414;30760;41710;4625;2410;..;..;..;89772;34;50;1490;12805;16410;25485;23025;8948;1160;95;129;141;81239;2670;339;6405;19170;13817;29859;7624;679;575;76;14;11;90608;1437;1142;5052;28699;13741;36187;1870;1533;12;451;102;382;72106;1065;311;26;3608;21379;19049;17870;2211;5992;299;183;113;99471;8313;3121;1512;23674;13126;17297;13091;7403;1271;9644;584;435;118090;7507;694;692;26342;19833;26295;14778;6949;5149;7389;778;1684;133250;1987;44;..;34025;58059;21702;11998;2499;..;..;46;2890;250195;3215;321;638;9299;117464;62472;30505;25018;828;4;7;424;273110;3081;1944;2466;37419;141741;30364;43283;9568;1530;757;158;799
"Ufsi";"Árskógsströnd";14700;878;661;2;110;23;5286;..;147;318;6388;177;710;20689;86;105;..;126;238;32;94;139;5243;5431;6469;2726;3090;437;31;450;665;43;112;..;31;208;50;680;383;6075;31;..;..;90;1684;272;437;237;568;475;958;1323;3712;18;504;302;311;196;1912;..;..;24;326;26;93;4596;14;134;5;..;36;..;679;1117;2365;240;6;..;1606;62;73;..;..;36;4;66;649;104;475;122;15;12997;4151;2553;246;254;..;..;..;343;3394;1617;422;17;15439;1526;1314;1152;2732;8;764;..;159;1664;969;2047;3104;5257;0;833;208;105;1966;541;..;125;337;609;290;243;3915;1;24;434;230;936;292;725;640;264;237;99;33;3026;169;47;81;34;599;348;836;152;272;235;131;122;2771;14;233;144;32;72;539;305;475;474;243;94;146;12346;84;141;1256;685;1399;2784;4148;744;383;326;319;77;17110;734;229;565;1563;2188;558;2629;2176;5949;415;84;20
"Ufsi";"Bakkafjörður";51363;28;10;16;986;946;851;30111;17400;694;183;130;8;43336;6;..;7;46;1120;4427;19276;16111;2119;126;78;20;11983;..;..;11;31;354;1723;3406;3145;3250;63;..;..;14042;..;..;..;27;180;3797;2150;5842;1727;284;2;33;14899;..;..;12;35;148;5915;2407;2901;2567;910;..;4;21197;..;43;13;4;202;2074;13197;2047;2758;795;48;16;5034;..;30;83;80;159;860;859;1513;1095;355;..;..;959;..;76;39;24;6;57;81;58;496;122;..;..;1723;..;0;165;351;20;86;528;232;152;162;15;12;2787;..;..;..;40;57;2056;77;247;59;230;21;..;10171;..;..;122;316;46;766;8060;504;272;85;..;..;10917;..;13;42;7;25;3752;5884;921;250;18;..;5;10677;..;..;338;299;181;880;7215;1459;237;68;..;..;13369;..;..;55;981;1450;3360;4040;1752;1599;132;0;..;40040;..;..;90;113;360;11366;23095;4777;125;108;6;..
"Ufsi";"Bíldudalur";774;..;..;..;..;289;282;203;..;..;..;..;..;2466;..;..;..;..;611;1754;101;..;..;..;..;..;1599;..;..;..;..;301;527;771;..;..;..;..;..;4258;..;..;..;..;412;306;2958;582;..;..;..;..;3993;..;..;..;..;536;1268;2137;52;..;..;..;..;353;..;..;..;..;262;46;45;..;..;..;..;..;190;..;..;..;..;..;16;8;166;..;..;..;..;48;..;..;..;..;..;..;48;..;..;..;..;..;121;..;..;..;..;..;35;86;..;..;..;..;..;4507;..;..;313;..;296;1177;1747;974;..;..;..;..;1687;..;..;1457;..;..;..;145;85;..;..;..;..;1742;1006;..;..;..;21;80;450;185;..;..;..;..;9674;..;..;7;..;2978;903;1877;345;132;1774;1255;403;5494;..;..;..;..;..;5;3441;1952;..;..;96;..;17;..;..;..;..;..;..;17;..;..;..;..;..
"Ufsi";"Blönduós";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46;..;..;..;..;..;..;..;46;..;..;..;..
"Ufsi";"Bolungarvík";1312451;40282;31002;91887;230904;261920;106034;7925;111685;124060;156165;99480;51107;571977;114208;16942;47756;102423;80562;98637;20062;54269;2384;16218;4265;14251;1450407;52214;123834;57249;148592;174779;51228;43274;250785;119701;186978;121748;120025;1450423;78240;19227;228099;197839;141241;101412;53627;125987;66378;198308;161253;78812;1189368;113537;40424;64684;139831;51378;160012;132414;184362;54035;62065;163474;23152;1358866;43939;78290;117946;318167;85451;65470;50011;135504;108214;101197;62607;192070;1413105;40728;152374;115348;276528;35182;65280;85642;59400;183374;172249;92406;134594;749899;868;5406;43058;42884;76387;107540;88089;135880;53441;33707;114682;47957;509506;1244;481;15695;40196;110569;106831;32041;74795;60203;41207;21385;4859;97665;365;293;303;792;9285;11112;14191;19109;19366;15560;4580;2709;82063;1077;243;337;4021;8247;13088;19563;14178;15733;1655;1995;1926;114975;3482;2065;593;512;4716;19571;15565;14698;35139;10409;6053;2172;141436;1612;726;1011;310;3735;16780;31913;32151;38314;8933;3570;2381;44971;548;1150;460;446;1214;1963;2979;10192;7977;11800;3248;2994;32869;352;507;624;814;662;1523;4588;6757;10546;2825;2284;1387
"Ufsi";"Borgarfjörður Eystri";1075;..;..;..;..;43;206;82;284;274;161;7;18;2958;..;..;..;..;62;255;189;1497;828;102;4;21;7583;..;..;..;..;6;76;179;1830;5390;87;6;9;3531;4;..;..;..;4;141;69;309;2219;740;26;19;2065;..;6;..;..;39;122;183;575;413;727;..;..;3212;..;..;..;..;45;1322;280;889;503;173;..;..;2274;..;..;..;..;40;200;217;349;1189;266;13;..;1629;..;..;..;..;61;247;245;185;535;354;2;..;704;..;..;..;50;16;108;43;70;278;136;3;..;1192;..;..;..;10;..;70;71;103;674;249;15;..;1612;..;..;..;..;12;44;222;46;701;575;12;..;961;..;..;5;..;62;37;172;239;397;48;1;..;2126;..;..;..;..;5;211;360;1190;226;128;6;..;932;..;..;..;..;52;114;246;199;288;26;7;..;1999;..;..;..;..;6;76;834;626;247;200;10;..
"Ufsi";"Breiðdalsvík";2642;..;..;..;46;1784;..;84;722;..;..;..;6;9219;65;..;25;116;1878;1614;44;23;4305;1144;5;..;9003;67;29;42;203;678;4247;2319;52;744;403;166;53;8518;1147;..;..;210;89;29;489;60;661;4229;1600;4;12847;136;288;830;4764;2146;243;1554;845;1055;277;190;519;9298;1388;165;..;46;827;1797;933;466;244;2821;611;..;6971;423;..;104;101;1628;67;497;3514;189;233;195;20;7228;374;..;..;255;1008;3098;561;1336;216;139;49;192;15288;165;..;91;1158;2878;6467;566;2057;529;1276;101;..;28748;167;..;68;348;2202;5823;14654;1639;1304;995;1421;127;27540;166;..;438;3543;6339;6002;4410;1528;904;2431;1417;362;26245;..;..;301;3548;2210;2417;2860;5033;6128;3555;39;154;27413;..;19;20;188;3149;8083;5871;2771;2909;4344;18;41;34522;..;..;26;115;2991;5014;6232;12175;1789;3061;2746;373;23714;..;..;..;..;589;9339;3223;2760;6779;564;460;..
"Ufsi";"Brjánslækur";..;..;..;..;..;..;..;..;..;..;..;..;..;12;..;..;..;..;..;..;12;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;0;..;..;377;..;..;..;..;..;..;335;42;..;..;..;..;6;..;..;..;..;..;6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;445;..;..;..;..;..;0;122;133;..;190;..;..;146;..;..;..;..;..;47;99;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ufsi";"Búðardalur";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ufsi";"Dalvík";1447305;85640;178050;87263;60524;417087;248080;12625;108005;68178;77095;87526;17232;1220015;184346;31856;2028;11243;60674;143390;27305;61897;64848;331172;260516;40740;1867983;193380;195954;75434;32004;103252;197438;55718;260443;277119;185301;182295;109645;1087631;66049;69176;8260;111433;138706;125255;9185;48711;20859;114144;162202;213651;983097;88790;24463;71792;75705;21591;80000;184718;5144;94617;53312;143904;139061;1356537;72238;222731;128377;150484;100050;190231;78403;73223;59562;26383;206615;48240;2207126;199818;219883;202360;155565;299207;148970;99756;208660;210938;192968;202313;66688;1453603;6081;18032;96907;158800;225961;106725;108338;55503;62575;99797;261271;253613;1003733;25132;35440;59324;55593;152336;231579;196415;10298;49951;127786;45758;14121;734168;60437;35385;50270;16528;72471;82460;194697;55026;73246;30029;28885;34734;749682;36446;16807;42324;61568;73293;91887;99661;14225;52096;131695;58029;71651;711908;43870;33362;8075;16223;129160;39081;210838;32411;62304;59634;52527;24423;554064;17162;47984;19932;16695;83819;83625;80892;60666;61744;15196;36897;29452;322337;19083;10485;41448;24830;20504;50621;8569;15476;36833;23008;45295;26185;523632;18058;4449;2083;28367;43616;116127;88980;25822;67359;31261;68864;28646
"Ufsi";"Djúpivogur";140069;352;152;84;2104;25964;14656;11123;21019;32414;4891;27064;246;336519;35099;9371;163;9774;182070;20778;4677;7106;20935;45702;534;310;162282;10305;1875;146;27995;19652;51103;21830;7328;10786;5771;5269;222;67614;1462;829;2269;5168;1322;5148;9030;9935;3288;13943;12258;2962;251504;36218;2329;925;19434;32689;5674;61981;10182;9887;65837;3060;3288;160883;4644;152;60;10948;25237;10346;15023;29235;37846;16243;9314;1835;192900;514;..;1188;11915;12754;15712;12505;35602;51900;35887;11657;3266;92343;578;104;875;8798;27113;27377;9210;8170;4992;2621;1143;1362;92336;724;53;6622;12988;19407;25597;9823;10102;5949;551;502;18;76050;87;..;6;3075;5021;13169;24481;4321;17669;6370;1531;320;152388;198;..;7;11133;27199;51161;29281;10375;6114;13404;3254;262;164408;7612;761;363;4915;25755;47035;43227;11570;16257;5985;426;502;193573;482;748;53227;5302;20046;47368;19673;5439;10065;13475;11401;6347;93819;38;..;542;766;9717;4054;29277;32378;12712;1145;2042;1148;130018;22;10;..;2363;6367;50346;31963;13614;11377;6259;5880;1817
"Ufsi";"Drangsnes";1650;1;..;..;111;933;129;67;250;124;18;17;..;10451;..;..;..;81;64;261;420;9588;..;13;24;..;1954;5;6;70;65;148;92;..;1287;218;1;62;..;5709;13;28;4;1031;508;501;338;2585;571;20;93;17;2328;..;115;1;10;115;334;379;469;861;33;11;..;3168;434;75;3;15;76;224;497;1223;593;28;..;..;2444;845;50;1;98;27;122;271;273;558;199;..;..;3400;858;711;59;66;530;102;212;258;288;137;55;124;3996;65;105;10;97;309;1141;1551;416;274;14;14;..;6609;8;99;34;..;1790;730;426;1454;1272;242;279;275;3707;37;28;11;12;164;1357;1133;88;533;..;340;4;18560;8;13;25;..;294;1547;5821;8136;2344;177;65;130;65734;..;..;2561;236;4002;9784;2288;39108;2570;5185;..;..;31897;..;..;13;125;1088;8540;12290;7461;1054;11;1297;18;9607;..;5;..;..;..;6049;2893;387;129;..;144;..
