X.1,"~~~Aflamagn, tonn~~~",X.2,X.3,"~~~Aflaverðmæti, milljónir króna~~~",X.4,X.5
,2023,2024,Breyting,2023,2024,Breyting
Samtals,1376557,995296,-28,197559,170650,-14
Eftir mánuðum ,,,,,,
  janúar,110245,87735,-20,14861,13035,-12
  febrúar,150094,67947,-55,18671,13568,-27
  mars,261314,63093,-76,28799,13899,-52
  apríl,126171,154791,23,14926,16501,11
  maí,101513,86987,-14,15699,16753,7
  júní,34312,27488,-20,10986,8330,-24
  júlí,101803,77825,-24,14886,13638,-8
  ágúst,114859,80172,-30,18689,15106,-19
  september,119341,98188,-18,17059,16512,-3
  október,122921,95787,-22,17642,16254,-8
  nóvember,87660,93957,7,15453,15524,0
  desember,46326,61327,32,9889,11533,17
,,,,,,
Eftir fisktegundum ,,,,,,
Botnfiskur,403919,423165,5,126074,127905,1
Þorskur,221009,223862,1,80681,82111,2
Ýsa,69882,84360,21,18683,20872,12
Ufsi,42271,38474,-9,10765,9086,-16
Karfi,39168,40976,5,10623,10154,-4
Annar botnfiskur,31590,35493,12,5322,5682,7
Flatfiskafli,20773,21712,5,12237,12976,6
Uppsjávarafli,946052,546659,-42,58084,29005,-50
Síld,186319,133292,-28,15356,9591,-38
Loðna,325749,0,-100,18788,0,-100
Kolmunni,292858,323832,11,11026,12027,9
Makríll,141125,89530,-37,12915,7387,-43
Skel- og krabbadýraafli,5765,3682,-36,1162,762,-34
Annar afli,48,78,62,2,3,-
